bag_size,num_features,num_models,fold,accuracy_score
0.6,0.4,100,5,0.8775
0.6,0.5,5,1,0.853125
0.6,0.5,5,2,0.8425
0.6,0.5,5,3,0.84
0.6,0.5,5,4,0.835625
0.6,0.5,5,5,0.854375
0.6,0.5,10,1,0.86125
0.6,0.5,10,2,0.861875
0.6,0.5,10,3,0.8625
0.6,0.5,10,4,0.853125
0.6,0.5,10,5,0.87875
0.6,0.5,20,1,0.876875
0.6,0.5,20,2,0.87125
0.6,0.5,20,3,0.87125
0.6,0.5,20,4,0.869375
0.6,0.5,20,5,0.87375
0.6,0.5,50,1,0.87375
0.6,0.5,50,2,0.8725
0.6,0.5,50,3,0.871875
0.6,0.5,50,4,0.87
0.6,0.5,50,5,0.8825
0.6,0.5,100,1,0.86625
0.6,0.5,100,2,0.869375
0.6,0.5,100,3,0.87125
0.6,0.5,100,4,0.873125
0.6,0.5,100,5,0.884375
0.6,0.6,5,1,0.855
0.6,0.6,5,2,0.85875
0.6,0.6,5,3,0.85375
0.6,0.6,5,4,0.8475
0.6,0.6,5,5,0.85875
0.6,0.6,10,1,0.86
0.6,0.6,10,2,0.85875
0.6,0.6,10,3,0.865
0.6,0.6,10,4,0.858125
0.6,0.6,10,5,0.87625
0.6,0.6,20,1,0.875
0.6,0.6,20,2,0.8725
0.6,0.6,20,3,0.87
0.6,0.6,20,4,0.87125
0.6,0.6,20,5,0.87375
0.6,0.6,50,1,0.871875
0.6,0.6,50,2,0.87375
0.6,0.6,50,3,0.87875
0.6,0.6,50,4,0.86625
0.6,0.6,50,5,0.881875
0.6,0.6,100,1,0.871875
0.6,0.6,100,2,0.87375
0.6,0.6,100,3,0.873125
0.6,0.6,100,4,0.871875
0.6,0.6,100,5,0.883125
0.6,0.7,5,1,0.855
0.6,0.7,5,2,0.85875
0.6,0.7,5,3,0.85375
0.6,0.7,5,4,0.8475
0.6,0.7,5,5,0.85875
0.6,0.7,10,1,0.86
0.6,0.7,10,2,0.85875
0.6,0.7,10,3,0.865
0.6,0.7,10,4,0.858125
0.6,0.7,10,5,0.87625
0.6,0.7,20,1,0.875
0.6,0.7,20,2,0.8725
0.6,0.7,20,3,0.87
0.6,0.7,20,4,0.87125
0.6,0.7,20,5,0.87375
0.6,0.7,50,1,0.871875
0.6,0.7,50,2,0.87375
0.6,0.7,50,3,0.87875
0.6,0.7,50,4,0.86625
0.6,0.7,50,5,0.881875
0.6,0.7,100,1,0.871875
0.6,0.7,100,2,0.87375
0.6,0.7,100,3,0.873125
