bag_size,num_features,num_models,fold,f1_score
0.4,0.7,10,2,0.9251968503937008
0.4,0.7,10,3,0.9215291750503017
0.4,0.7,10,4,0.8979591836734694
0.4,0.7,10,5,0.9316081330868762
0.4,0.7,20,1,0.8781609195402299
0.4,0.7,20,2,0.9184890656063618
0.4,0.7,20,3,0.9233870967741935
0.4,0.7,20,4,0.9090909090909091
0.4,0.7,20,5,0.9348230912476723
0.4,0.7,50,1,0.8755760368663594
0.4,0.7,50,2,0.9221556886227544
0.4,0.7,50,3,0.9233870967741935
0.4,0.7,50,4,0.9170124481327802
0.4,0.7,50,5,0.9233644859813084
0.4,0.7,100,1,0.8807339449541284
0.4,0.7,100,2,0.9230769230769231
0.4,0.7,100,3,0.9298597194388778
0.4,0.7,100,4,0.9170124481327802
0.4,0.7,100,5,0.9288389513108615
0.4,0.8,5,1,0.8807339449541284
0.4,0.8,5,2,0.9294117647058823
0.4,0.8,5,3,0.934131736526946
0.4,0.8,5,4,0.9068825910931174
0.4,0.8,5,5,0.9321100917431193
0.4,0.8,10,1,0.8863636363636364
0.4,0.8,10,2,0.9233791748526522
0.4,0.8,10,3,0.927710843373494
0.4,0.8,10,4,0.9183673469387755
0.4,0.8,10,5,0.9313543599257885
0.4,0.8,20,1,0.8807339449541284
0.4,0.8,20,2,0.9273084479371316
0.4,0.8,20,3,0.934131736526946
0.4,0.8,20,4,0.9224489795918367
0.4,0.8,20,5,0.9333333333333333
0.4,0.8,50,1,0.8858447488584474
0.4,0.8,50,2,0.9188118811881187
0.4,0.8,50,3,0.9298597194388778
0.4,0.8,50,4,0.926530612244898
0.4,0.8,50,5,0.9256505576208178
0.4,0.8,100,1,0.8858447488584474
0.4,0.8,100,2,0.9230769230769231
0.4,0.8,100,3,0.9298597194388778
0.4,0.8,100,4,0.9243353783231082
0.4,0.8,100,5,0.9253731343283582
0.5,0.4,5,1,0.8903803131991052
0.5,0.4,5,2,0.9348659003831418
0.5,0.4,5,3,0.934131736526946
0.5,0.4,5,4,0.9336016096579477
0.5,0.4,5,5,0.9250457038391225
0.5,0.4,10,1,0.8832951945080092
0.5,0.4,10,2,0.9270216962524654
0.5,0.4,10,3,0.9186991869918699
0.5,0.4,10,4,0.9249492900608519
0.5,0.4,10,5,0.9219330855018588
0.5,0.4,20,1,0.8671328671328671
0.5,0.4,20,2,0.9112903225806451
0.5,0.4,20,3,0.8958333333333334
0.5,0.4,20,4,0.9144050104384134
0.5,0.4,20,5,0.9166666666666667
0.5,0.4,50,1,0.8644859813084113
0.5,0.4,50,2,0.9215291750503019
0.5,0.4,50,3,0.9094650205761317
0.5,0.4,50,4,0.8931623931623932
0.5,0.4,50,5,0.9136276391554702
0.5,0.4,100,1,0.8671328671328671
0.5,0.4,100,2,0.9193548387096774
0.5,0.4,100,3,0.9094650205761317
0.5,0.4,100,4,0.9052631578947369
0.5,0.4,100,5,0.9177820267686424
0.5,0.5,5,1,0.8781609195402299
0.5,0.5,5,2,0.9351145038167941
0.5,0.5,5,3,0.937007874015748
0.5,0.5,5,4,0.9311740890688259
0.5,0.5,5,5,0.9357798165137615
0.5,0.5,10,1,0.8755760368663594
0.5,0.5,10,2,0.9323017408123792
0.5,0.5,10,3,0.9295774647887325
0.5,0.5,10,4,0.926829268292683
0.5,0.5,10,5,0.9301470588235294
0.5,0.5,20,1,0.8755760368663594
0.5,0.5,20,2,0.9249011857707509
0.5,0.5,20,3,0.9252525252525253
0.5,0.5,20,4,0.9300411522633745
0.5,0.5,20,5,0.9276437847866419
0.5,0.5,50,1,0.8755760368663594
0.5,0.5,50,2,0.9184890656063618
0.5,0.5,50,3,0.9252525252525253
0.5,0.5,50,4,0.9230769230769231
0.5,0.5,50,5,0.923076923076923
0.5,0.5,100,1,0.8755760368663594
0.5,0.5,100,2,0.9246031746031748
