bag_size,num_features,num_models,fold,f1_score
0.4,0.6,10,5,0.9565217391304348
0.4,0.6,20,1,0.9722222222222222
0.4,0.6,20,2,0.987012987012987
0.4,0.6,20,3,0.9726027397260274
0.4,0.6,20,4,0.9793103448275862
0.4,0.6,20,5,0.9710144927536232
0.4,0.6,50,1,0.9790209790209791
0.4,0.6,50,2,0.987012987012987
0.4,0.6,50,3,0.9793103448275862
0.4,0.6,50,4,0.9726027397260274
0.4,0.6,50,5,0.9640287769784173
0.4,0.6,100,1,0.9790209790209791
0.4,0.6,100,2,0.987012987012987
0.4,0.6,100,3,0.9793103448275862
0.4,0.6,100,4,0.9726027397260274
0.4,0.6,100,5,0.9640287769784173
0.4,0.7,5,1,0.9722222222222222
0.4,0.7,5,2,0.9935483870967742
0.4,0.7,5,3,0.965034965034965
0.4,0.7,5,4,0.9659863945578231
0.4,0.7,5,5,0.948905109489051
0.4,0.7,10,1,0.9722222222222222
0.4,0.7,10,2,0.987012987012987
0.4,0.7,10,3,0.9722222222222222
0.4,0.7,10,4,0.9726027397260274
0.4,0.7,10,5,0.9710144927536232
0.4,0.7,20,1,0.9722222222222222
0.4,0.7,20,2,0.987012987012987
0.4,0.7,20,3,0.9655172413793104
0.4,0.7,20,4,0.9793103448275862
0.4,0.7,20,5,0.9710144927536232
0.4,0.7,50,1,0.9790209790209791
0.4,0.7,50,2,0.987012987012987
0.4,0.7,50,3,0.9722222222222222
0.4,0.7,50,4,0.9726027397260274
0.4,0.7,50,5,0.9710144927536232
0.4,0.7,100,1,0.9790209790209791
0.4,0.7,100,2,0.987012987012987
0.4,0.7,100,3,0.9722222222222222
0.4,0.7,100,4,0.9726027397260274
0.4,0.7,100,5,0.9710144927536232
0.4,0.8,5,1,0.9726027397260274
0.4,0.8,5,2,0.987012987012987
0.4,0.8,5,3,0.9583333333333334
0.4,0.8,5,4,0.9793103448275862
0.4,0.8,5,5,0.9705882352941176
0.4,0.8,10,1,0.9793103448275862
0.4,0.8,10,2,0.9803921568627451
0.4,0.8,10,3,0.9655172413793104
0.4,0.8,10,4,0.9793103448275862
0.4,0.8,10,5,0.9705882352941176
0.4,0.8,20,1,0.9790209790209791
0.4,0.8,20,2,0.9868421052631579
0.4,0.8,20,3,0.9722222222222222
0.4,0.8,20,4,0.993006993006993
0.4,0.8,20,5,0.9781021897810219
0.4,0.8,50,1,0.9861111111111112
0.4,0.8,50,2,0.9868421052631579
0.4,0.8,50,3,0.9722222222222222
0.4,0.8,50,4,0.9861111111111112
