bag_size,num_features,num_models,fold,accuracy_score
0.6,0.6,10,3,0.94625
0.6,0.6,10,4,0.94125
0.6,0.6,10,5,0.950625
0.6,0.6,20,1,0.960625
0.6,0.6,20,2,0.959375
0.6,0.6,20,3,0.956875
0.6,0.6,20,4,0.95625
0.6,0.6,20,5,0.95625
0.6,0.6,50,1,0.96625
0.6,0.6,50,2,0.96125
0.6,0.6,50,3,0.955
0.6,0.6,50,4,0.954375
0.6,0.6,50,5,0.960625
0.6,0.6,100,1,0.9675
0.6,0.6,100,2,0.965
0.6,0.6,100,3,0.96
0.6,0.6,100,4,0.958125
0.6,0.6,100,5,0.9625
0.6,0.7,5,1,0.951875
0.6,0.7,5,2,0.9525
0.6,0.7,5,3,0.9525
0.6,0.7,5,4,0.953125
0.6,0.7,5,5,0.94875
0.6,0.7,10,1,0.953125
0.6,0.7,10,2,0.95125
0.6,0.7,10,3,0.94625
0.6,0.7,10,4,0.94125
0.6,0.7,10,5,0.950625
0.6,0.7,20,1,0.960625
0.6,0.7,20,2,0.959375
0.6,0.7,20,3,0.956875
0.6,0.7,20,4,0.95625
0.6,0.7,20,5,0.95625
0.6,0.7,50,1,0.96625
0.6,0.7,50,2,0.96125
0.6,0.7,50,3,0.955
0.6,0.7,50,4,0.954375
0.6,0.7,50,5,0.960625
0.6,0.7,100,1,0.9675
0.6,0.7,100,2,0.965
0.6,0.7,100,3,0.96
0.6,0.7,100,4,0.958125
0.6,0.7,100,5,0.9625
0.6,0.8,5,1,0.960625
0.6,0.8,5,2,0.954375
0.6,0.8,5,3,0.954375
0.6,0.8,5,4,0.95875
0.6,0.8,5,5,0.955
0.6,0.8,10,1,0.963125
0.6,0.8,10,2,0.960625
0.6,0.8,10,3,0.95625
0.6,0.8,10,4,0.95625
0.6,0.8,10,5,0.958125
0.6,0.8,20,1,0.96625
0.6,0.8,20,2,0.965625
0.6,0.8,20,3,0.963125
0.6,0.8,20,4,0.96375
0.6,0.8,20,5,0.96125
0.6,0.8,50,1,0.969375
0.6,0.8,50,2,0.969375
0.6,0.8,50,3,0.964375
0.6,0.8,50,4,0.9625
0.6,0.8,50,5,0.964375
0.6,0.8,100,1,0.970625
0.6,0.8,100,2,0.969375
0.6,0.8,100,3,0.965
0.6,0.8,100,4,0.9625
0.6,0.8,100,5,0.965625
0.7,0.4,5,1,0.7325
0.7,0.4,5,2,0.720625
0.7,0.4,5,3,0.70125
0.7,0.4,5,4,0.701875
0.7,0.4,5,5,0.695
0.7,0.4,10,1,0.85625
0.7,0.4,10,2,0.846875
0.7,0.4,10,3,0.83125
0.7,0.4,10,4,0.820625
0.7,0.4,10,5,0.84
0.7,0.4,20,1,0.896875
0.7,0.4,20,2,0.88625
0.7,0.4,20,3,0.865625
0.7,0.4,20,4,0.855625
0.7,0.4,20,5,0.869375
0.7,0.4,50,1,0.893125
0.7,0.4,50,2,0.899375
0.7,0.4,50,3,0.8775
0.7,0.4,50,4,0.880625
0.7,0.4,50,5,0.893125
0.7,0.4,100,1,0.90625
0.7,0.4,100,2,0.90125
0.7,0.4,100,3,0.889375
0.7,0.4,100,4,0.89375
0.7,0.4,100,5,0.895
0.7,0.5,5,1,0.821875
0.7,0.5,5,2,0.72875
0.7,0.5,5,3,0.825
0.7,0.5,5,4,0.8175
0.7,0.5,5,5,0.7775
0.7,0.5,10,1,0.923125
0.7,0.5,10,2,0.89125
0.7,0.5,10,3,0.91375
0.7,0.5,10,4,0.91375
0.7,0.5,10,5,0.90625
0.7,0.5,20,1,0.93
0.7,0.5,20,2,0.925625
0.7,0.5,20,3,0.92625
0.7,0.5,20,4,0.93
0.7,0.5,20,5,0.92875
0.7,0.5,50,1,0.936875
0.7,0.5,50,2,0.94
0.7,0.5,50,3,0.9375
0.7,0.5,50,4,0.939375
0.7,0.5,50,5,0.940625
0.7,0.5,100,1,0.935
0.7,0.5,100,2,0.9375
0.7,0.5,100,3,0.93625
0.7,0.5,100,4,0.935
0.7,0.5,100,5,0.939375
0.7,0.6,5,1,0.910625
0.7,0.6,5,2,0.91375
0.7,0.6,5,3,0.89625
0.7,0.6,5,4,0.915
0.7,0.6,5,5,0.916875
0.7,0.6,10,1,0.94875
0.7,0.6,10,2,0.94625
0.7,0.6,10,3,0.94125
0.7,0.6,10,4,0.941875
0.7,0.6,10,5,0.94625
0.7,0.6,20,1,0.956875
0.7,0.6,20,2,0.95375
0.7,0.6,20,3,0.95
0.7,0.6,20,4,0.95125
