bag_size,num_features,num_models,fold,f1_score
0.4,0.6,20,3,0.9227642276422764
0.4,0.6,20,4,0.8989247311827957
0.4,0.6,20,5,0.9122137404580153
0.4,0.6,50,1,0.8807339449541284
0.4,0.6,50,2,0.9224652087475149
0.4,0.6,50,3,0.9274193548387097
0.4,0.6,50,4,0.9198312236286921
0.4,0.6,50,5,0.9176029962546816
0.4,0.6,100,1,0.8761467889908259
0.4,0.6,100,2,0.9203187250996016
0.4,0.6,100,3,0.9317269076305221
0.4,0.6,100,4,0.9198312236286921
0.4,0.6,100,5,0.923076923076923
0.4,0.7,5,1,0.8711943793911007
0.4,0.7,5,2,0.9258517034068137
0.4,0.7,5,3,0.9292929292929293
0.4,0.7,5,4,0.8855291576673866
0.4,0.7,5,5,0.9076923076923077
0.4,0.7,10,1,0.8717948717948718
0.4,0.7,10,2,0.9261477045908185
0.4,0.7,10,3,0.9319999999999999
0.4,0.7,10,4,0.902127659574468
0.4,0.7,10,5,0.9063097514340345
0.4,0.7,20,1,0.8735632183908045
0.4,0.7,20,2,0.9224652087475149
0.4,0.7,20,3,0.9338677354709418
0.4,0.7,20,4,0.9063829787234043
0.4,0.7,20,5,0.9132075471698112
0.4,0.7,50,1,0.8735632183908045
0.4,0.7,50,2,0.9203187250996016
0.4,0.7,50,3,0.9338677354709418
0.4,0.7,50,4,0.9221052631578949
0.4,0.7,50,5,0.9196261682242991
0.4,0.7,100,1,0.8787185354691076
0.4,0.7,100,2,0.9246031746031748
0.4,0.7,100,3,0.9319999999999999
0.4,0.7,100,4,0.9198312236286921
0.4,0.7,100,5,0.9250936329588015
0.4,0.8,5,1,0.8787185354691076
0.4,0.8,5,2,0.9236790606653622
0.4,0.8,5,3,0.9325396825396826
0.4,0.8,5,4,0.9253112033195021
0.4,0.8,5,5,0.9111531190926278
0.4,0.8,10,1,0.8767123287671232
0.4,0.8,10,2,0.9233791748526522
0.4,0.8,10,3,0.9404761904761904
0.4,0.8,10,4,0.9175475687103595
0.4,0.8,10,5,0.9196261682242991
0.4,0.8,20,1,0.8787185354691076
0.4,0.8,20,2,0.9251968503937008
0.4,0.8,20,3,0.9386138613861387
0.4,0.8,20,4,0.9221052631578949
0.4,0.8,20,5,0.9233644859813084
0.4,0.8,50,1,0.8761467889908259
0.4,0.8,50,2,0.9233791748526522
0.4,0.8,50,3,0.9388560157790928
0.4,0.8,50,4,0.9266247379454927
0.4,0.8,50,5,0.9273743016759776
0.4,0.8,100,1,0.8761467889908259
0.4,0.8,100,2,0.9233791748526522
0.4,0.8,100,3,0.9367588932806324
0.4,0.8,100,4,0.9266247379454927
0.4,0.8,100,5,0.9253731343283582
0.5,0.4,5,1,0.8752834467120182
0.5,0.4,5,2,0.8932806324110671
0.5,0.4,5,3,0.8977955911823648
0.5,0.4,5,4,0.9146341463414633
0.5,0.4,5,5,0.8712121212121211
0.5,0.4,10,1,0.8709677419354839
0.5,0.4,10,2,0.9047619047619047
0.5,0.4,10,3,0.9020408163265308
0.5,0.4,10,4,0.909853249475891
0.5,0.4,10,5,0.9018867924528301
0.5,0.4,20,1,0.8665105386416861
0.5,0.4,20,2,0.901010101010101
0.5,0.4,20,3,0.9030927835051545
0.5,0.4,20,4,0.9063829787234043
0.5,0.4,20,5,0.9083969465648855
0.5,0.4,50,1,0.8685446009389671
0.5,0.4,50,2,0.905050505050505
0.5,0.4,50,3,0.9053497942386831
0.5,0.4,50,4,0.9008620689655173
0.5,0.4,50,5,0.9118773946360154
0.5,0.4,100,1,0.8665105386416861
0.5,0.4,100,2,0.9178356713426854
0.5,0.4,100,3,0.9075975359342916
0.5,0.4,100,4,0.9036402569593147
0.5,0.4,100,5,0.9104761904761904
0.5,0.5,5,1,0.8807339449541284
0.5,0.5,5,2,0.8915187376725837
0.5,0.5,5,3,0.9021956087824352
0.5,0.5,5,4,0.920892494929006
0.5,0.5,5,5,0.887218045112782
0.5,0.5,10,1,0.8761467889908259
0.5,0.5,10,2,0.9058823529411766
0.5,0.5,10,3,0.9322709163346613
0.5,0.5,10,4,0.9211618257261411
0.5,0.5,10,5,0.9138576779026216
0.5,0.5,20,1,0.8703703703703703
0.5,0.5,20,2,0.9133858267716536
0.5,0.5,20,3,0.9212121212121213
0.5,0.5,20,4,0.9227557411273486
0.5,0.5,20,5,0.9268292682926829
0.5,0.5,50,1,0.8677494199535962
0.5,0.5,50,2,0.9123505976095618
0.5,0.5,50,3,0.9146341463414636
