bag_size,num_features,num_models,fold,f1_score
0.4,0.6,100,5,0.9411764705882353
0.4,0.7,5,1,0.8958333333333334
0.4,0.7,5,2,0.9278350515463918
0.4,0.7,5,3,0.9142857142857143
0.4,0.7,5,4,0.9090909090909091
0.4,0.7,5,5,0.9504950495049505
0.4,0.7,10,1,0.8958333333333334
0.4,0.7,10,2,0.9263157894736842
0.4,0.7,10,3,0.9056603773584906
0.4,0.7,10,4,0.898876404494382
0.4,0.7,10,5,0.9504950495049505
0.4,0.7,20,1,0.9052631578947369
0.4,0.7,20,2,0.946236559139785
0.4,0.7,20,3,0.9142857142857143
0.4,0.7,20,4,0.9090909090909091
0.4,0.7,20,5,0.9504950495049505
0.4,0.7,50,1,0.8958333333333334
0.4,0.7,50,2,0.9565217391304348
0.4,0.7,50,3,0.9142857142857143
0.4,0.7,50,4,0.9090909090909091
0.4,0.7,50,5,0.9504950495049505
0.4,0.7,100,1,0.8958333333333334
0.4,0.7,100,2,0.9565217391304348
0.4,0.7,100,3,0.9142857142857143
0.4,0.7,100,4,0.898876404494382
0.4,0.7,100,5,0.9504950495049505
0.4,0.8,5,1,0.9052631578947369
0.4,0.8,5,2,0.9166666666666666
0.4,0.8,5,3,0.9142857142857143
0.4,0.8,5,4,0.9090909090909091
0.4,0.8,5,5,0.9504950495049505
0.4,0.8,10,1,0.9052631578947369
0.4,0.8,10,2,0.9361702127659575
0.4,0.8,10,3,0.9142857142857143
0.4,0.8,10,4,0.9090909090909091
0.4,0.8,10,5,0.9504950495049505
0.4,0.8,20,1,0.9052631578947369
0.4,0.8,20,2,0.9361702127659575
0.4,0.8,20,3,0.9142857142857143
0.4,0.8,20,4,0.9090909090909091
0.4,0.8,20,5,0.9504950495049505
0.4,0.8,50,1,0.9052631578947369
0.4,0.8,50,2,0.946236559139785
0.4,0.8,50,3,0.9142857142857143
0.4,0.8,50,4,0.9090909090909091
0.4,0.8,50,5,0.9504950495049505
0.4,0.8,100,1,0.9052631578947369
0.4,0.8,100,2,0.9565217391304348
0.4,0.8,100,3,0.9142857142857143
0.4,0.8,100,4,0.898876404494382
0.4,0.8,100,5,0.9504950495049505
0.5,0.4,5,1,0.8775510204081632
0.5,0.4,5,2,0.9166666666666666
0.5,0.4,5,3,0.9158878504672897
0.5,0.4,5,4,0.8333333333333334
0.5,0.4,5,5,0.9142857142857143
0.5,0.4,10,1,0.9247311827956989
0.5,0.4,10,2,0.9072164948453608
0.5,0.4,10,3,0.9074074074074074
0.5,0.4,10,4,0.898876404494382
0.5,0.4,10,5,0.9411764705882353
0.5,0.4,20,1,0.9052631578947369
0.5,0.4,20,2,0.9361702127659575
0.5,0.4,20,3,0.9333333333333333
0.5,0.4,20,4,0.8791208791208791
